street                              city            zip   state beds baths sq__ft type         sale_date                    price  latitude longitude   
3526 HIGH ST                        SACRAMENTO      95838 CA    2    1     836    Residential  Wed May 21 00:00:00 EDT 2008 59222  38.63191 -121.43488  
51 OMAHA CT                         SACRAMENTO      95823 CA    3    1     1167   Residential  Wed May 21 00:00:00 EDT 2008 68212  38.4789  -121.43103  
2796 BRANCH ST                      SACRAMENTO      95815 CA    2    1     796    Residential  Wed May 21 00:00:00 EDT 2008 68880  38.61831 -121.44384  
2805 JANETTE WAY                    SACRAMENTO      95815 CA    2    1     852    Residential  Wed May 21 00:00:00 EDT 2008 69307  38.61684 -121.43915  
6001 MCMAHON DR                     SACRAMENTO      95824 CA    2    1     797    Residential  Wed May 21 00:00:00 EDT 2008 81900  38.51947 -121.43577  
5828 PEPPERMILL CT                  SACRAMENTO      95841 CA    3    1     1122   Condo        Wed May 21 00:00:00 EDT 2008 89921  38.6626  -121.32781  
6048 OGDEN NASH WAY                 SACRAMENTO      95842 CA    3    2     1104   Residential  Wed May 21 00:00:00 EDT 2008 90895  38.68166 -121.35171  
2561 19TH AVE                       SACRAMENTO      95820 CA    3    1     1177   Residential  Wed May 21 00:00:00 EDT 2008 91002  38.53509 -121.48137  
11150 TRINITY RIVER DR Unit 114     RANCHO CORDOVA  95670 CA    2    2     941    Condo        Wed May 21 00:00:00 EDT 2008 94905  38.62119 -121.27056  
7325 10TH ST                        RIO LINDA       95673 CA    3    2     1146   Residential  Wed May 21 00:00:00 EDT 2008 98937  38.70091 -121.44298  
645 MORRISON AVE                    SACRAMENTO      95838 CA    3    2     909    Residential  Wed May 21 00:00:00 EDT 2008 100309 38.63766 -121.45152  
4085 FAWN CIR                       SACRAMENTO      95823 CA    3    2     1289   Residential  Wed May 21 00:00:00 EDT 2008 106250 38.47075 -121.45892  
2930 LA ROSA RD                     SACRAMENTO      95815 CA    1    1     871    Residential  Wed May 21 00:00:00 EDT 2008 106852 38.6187  -121.43583  
2113 KIRK WAY                       SACRAMENTO      95822 CA    3    1     1020   Residential  Wed May 21 00:00:00 EDT 2008 107502 38.48222 -121.4926   
4533 LOCH HAVEN WAY                 SACRAMENTO      95842 CA    2    2     1022   Residential  Wed May 21 00:00:00 EDT 2008 108750 38.67291 -121.35934  
7340 HAMDEN PL                      SACRAMENTO      95842 CA    2    2     1134   Condo        Wed May 21 00:00:00 EDT 2008 110700 38.70005 -121.35128  
6715 6TH ST                         RIO LINDA       95673 CA    2    1     844    Residential  Wed May 21 00:00:00 EDT 2008 113263 38.68959 -121.45224  
6236 LONGFORD DR Unit 1             CITRUS HEIGHTS  95621 CA    2    1     795    Condo        Wed May 21 00:00:00 EDT 2008 116250 38.67978 -121.31409  
250 PERALTA AVE                     SACRAMENTO      95833 CA    2    1     588    Residential  Wed May 21 00:00:00 EDT 2008 120000 38.6121  -121.4691   
113 LEEWILL AVE                     RIO LINDA       95673 CA    3    2     1356   Residential  Wed May 21 00:00:00 EDT 2008 121630 38.69    -121.46322  
6118 STONEHAND AVE                  CITRUS HEIGHTS  95621 CA    3    2     1118   Residential  Wed May 21 00:00:00 EDT 2008 122000 38.70785 -121.32071  
4882 BANDALIN WAY                   SACRAMENTO      95823 CA    4    2     1329   Residential  Wed May 21 00:00:00 EDT 2008 122682 38.46817 -121.44407  
7511 OAKVALE CT                     NORTH HIGHLANDS 95660 CA    4    2     1240   Residential  Wed May 21 00:00:00 EDT 2008 123000 38.70279 -121.38221  
9 PASTURE CT                        SACRAMENTO      95834 CA    3    2     1601   Residential  Wed May 21 00:00:00 EDT 2008 124100 38.62863 -121.4881   
3729 BAINBRIDGE DR                  NORTH HIGHLANDS 95660 CA    3    2     901    Residential  Wed May 21 00:00:00 EDT 2008 125000 38.7015  -121.37622  
3828 BLACKFOOT WAY                  ANTELOPE        95843 CA    3    2     1088   Residential  Wed May 21 00:00:00 EDT 2008 126640 38.70974 -121.37377  
